"COMP","REGIAO","UF","CO_IBGE","MUNICIPIO","MOTIVO_DESABILITACAO","CNES","NOME_ESTABELECIMENTO","RAZAO_SOCIAL","TP_GESTAO","CO_TIPO_UNIDADE","DS_TIPO_UNIDADE","NATUREZA_JURIDICA","DESC_NATUREZA_JURIDICA","NO_LOGRADOURO","NU_ENDERECO","NO_COMPLEMENTO","NO_BAIRRO","CO_CEP","NU_TELEFONE","NO_EMAIL","LEITOS_EXISTENTES","LEITOS_SUS","UTI_TOTAL_EXIST","UTI_TOTAL_SUS","UTI_ADULTO_EXIST","UTI_ADULTO_SUS","UTI_PEDIATRICO_EXIST","UTI_PEDIATRICO_SUS","UTI_NEONATAL_EXIST","UTI_NEONATAL_SUS","UTI_QUEIMADO_EXIST","UTI_QUEIMADO_SUS","UTI_CORONARIANA_EXIST","UTI_CORONARIANA_SUS"
202512,"SUDESTE","SP",354990,"SAO JOSE DOS CAMPOS","",9636,"ASSOCIACAO INSTITUTO CHUI DE PSIQUIATRIA","ASSOCIACAO INSTITUTO CHUI DE PSIQUIATRIA","M",7,"HOSPITAL ESPECIALIZADO",3999,"HOSPITAL_FILANTRÓPICO","PRACA BOM JESUS DO SERIMBURA","82","","VILA GUAIANAZES",12243370,"12 3921-6786","institutochui@terra.com.br",174,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",354990,"SAO JOSE DOS CAMPOS","",26417,"HOSPITAL DE CLINICAS SUL","PREFEITURA MUNICIPAL DE SAO JOSE DOS CAMPOS","M",5,"HOSPITAL GERAL",1244,"HOSPITAL_PÚBLICO","PRACA NATAL","55","","PARQUE INDUSTRIAL",12235621,"12 39358100","hcs05@sjc.sp.gov.br, cnes@hmtj.org.br",44,44,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",350850,"CACAPAVA","",42021,"LA SERENITE","RB CENTRO DE REABILITACAO LTDA","M",7,"HOSPITAL ESPECIALIZADO",2062,"HOSPITAL_PRIVADO","AV PINHEIROS","157","","CACAPAVA VELHA",12283412,"12 36528608","",10,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",354340,"RIBEIRAO PRETO","",80470,"HOSPITAL FUNDACAO PENTEADO RIBEIRAO PRETO","HOSPITAL ESPECIALIZADO NO TRATAMENTO DE ALCOOL E DROGAS AS","M",5,"HOSPITAL GERAL",3999,"HOSPITAL_FILANTRÓPICO","ANTONIO GOMES DA SILVA JUNIOR","625","","PARQUE RESIDENCIAL L",14095440,"16 32341290","abertura.analise@gmail.com",20,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",350750,"BOTUCATU","",81825,"HOSPITAL UNIMED BOTUCATU II","UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MEDICO","M",5,"HOSPITAL GERAL",2143,"HOSPITAL_PRIVADO","RUA EMILIO CANI","1178","","VILA SANTA TEREZINHA",18606730,"14 3514-0500","diretoriatecnica@h.unimedbotucatu.coop.br",80,0,10,0,10,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",351050,"CARAGUATATUBA","",92894,"HOSPITAL REGIONAL DO LITORAL NORTE","SECRETARIA DO ESTADO DA SAUDE DE SAO PAULO","E",5,"HOSPITAL GERAL",1023,"HOSPITAL_PÚBLICO","RUA PRUDENCIA SANCHES FROILE MANSANO","1200","","PONTAL DE SANTA MARI",11672032,"12 38871058","secretariatecnica.hrln@isgsaude.org",201,201,40,40,30,30,10,10,0,0,0,0,0,0
202512,"SUDESTE","SP",355030,"SAO PAULO","",102075,"HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES","PREFEITURA DO MUNICIPIO DE SAO PAULO","M",5,"HOSPITAL GERAL",1031,"HOSPITAL_PÚBLICO","RUA ANTONIO CARLOS","122","","CONSOLACAO",1309010,"42102970","",60,60,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",355030,"SAO PAULO","",102105,"HOSPITAL MUNICIPAL BRASILANDIA","SECRETARIA MUNICIPAL DA SAUDE","M",5,"HOSPITAL GERAL",1031,"HOSPITAL_PÚBLICO","MICHIHISA MURATA","150","","JARDIM MARISTELA",2806160,"113135-7060","DMELLONE@PREFEITURA.SP.GOV.BR",291,251,70,30,60,20,10,10,0,0,0,0,0,0
202512,"SUDESTE","SP",352850,"MAIRIPORA","",115509,"HOSPITAL DE CLINICAS ANJO GABRIEL","MUNICIPIO DE MAIRIPORA","M",5,"HOSPITAL GERAL",1244,"HOSPITAL_PÚBLICO","RUA SAO JUDAS TADEU","200","","CAPOAVINHA",7629658,"(11)44192521","gerenciamairipora@alphainstituto.com.br",35,35,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",350570,"BARUERI","",127604,"HOSPITAL DE RETAGUARDA DO JARDIM PAULISTA","MUNICIPIO DE BARUERI","M",5,"HOSPITAL GERAL",1244,"HOSPITAL_PÚBLICO","AVENIDA CIDADE DE ITU","346","AV MARG ESQUERDA767","JARDIM ITAPARICA",6447020,"(11) 3164-9591","saude.scnes@barueri.sp.gov.br",61,61,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",353800,"PINDAMONHANGABA","",136328,"UNIDADE MISTA CIDADE NOVA PINDAMONHANGABA","MUNICIPIO DE PINDAMONHANGABA","M",15,"UNIDADE MISTA",1244,"HOSPITAL_PÚBLICO","AV PRINCESA DO NORTE","380","","CIDADE NOVA",12414060,"","",2,2,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",355030,"SAO PAULO","",161438,"HOSPITAL MUNICIPAL GUARAPIRANGA","INTS INSTITUTO NACIONAL DE TECNOLOGIA E SAUDE","M",5,"HOSPITAL GERAL",1031,"HOSPITAL_PÚBLICO","ESTRADA DA RIVIERA","4742","ZONA SUL","RIVIERA PAULISTA",4916000,"(11) 3113-9592","",186,156,30,0,30,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",354870,"SAO BERNARDO DO CAMPO","",235385,"CLINICA TERAPEUTICA SONHO DE VIDA","CLINICA TERAPEUTICA SONHO DE VIDA LTDA","M",7,"HOSPITAL ESPECIALIZADO",2062,"HOSPITAL_PRIVADO","ESTRADA SIMAO PORTELA","634","","RIO GRANDE",9830030,"1143549198","atendimento@clinicasonhodevida.com",32,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",355030,"SAO PAULO","",255661,"IMPAR SERVICOS HOSPITALARES FILIAL SANTA PAULA","IMPAR SERVICOS HOSPITALARES SA","M",5,"HOSPITAL GERAL",2054,"HOSPITAL_PRIVADO","AVENIDA SANTO AMARO","2468","","BROOKLIN PAULISTA",4556901,"11 30408008","",199,0,50,0,50,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",355030,"SAO PAULO","",263192,"HOSPITAL SANCTA MAGGIORE DUBAI","PREVENT SENIOR ATENDIMENTO A SAUDE LTDA","M",5,"HOSPITAL GERAL",2062,"HOSPITAL_PRIVADO","RUA FRANCISCO TRAMONTANO","100","","REAL PARQUE",5686902,"1140859057","luciana.tamaoki@preventsenior.com.br",171,0,37,0,37,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",355070,"SAO SEBASTIAO","",265187,"HOSPITAL DE CLINICAS DE SAO SEBASTIAO COSTA SUL","PREFEITURA MUNICIPAL DE SAO SEBASTIAO","M",5,"HOSPITAL GERAL",1244,"HOSPITAL_PÚBLICO","AVENIDA WALKIR VERGANI","878","","BOICUCANGA",11618107,"","",38,38,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",350410,"ATIBAIA","",285641,"GRUPO ERIMUS","CLINICA ERIMUS PSICOLOGIA LTDA","M",7,"HOSPITAL ESPECIALIZADO",2062,"HOSPITAL_PRIVADO","RUA ANGELICO BUENO","S/N","CXP 3317","ROSARIO",12948104,"","",29,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",350210,"ANDRADINA","",297607,"OCULARE ANDRADINA","LOPES RODRIGUES SERVICOS OFTALMOLOGICOS LTDA","M",7,"HOSPITAL ESPECIALIZADO",2062,"HOSPITAL_PRIVADO","RUA J A DE CARVALHO","1347","","CENTRO",16901015,"","",1,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",354990,"SAO JOSE DOS CAMPOS","",381454,"HOSPITAL ORTO SERVICOS MEDICOS E CIRURGICOS","HOSPITAL ORTO SERVICOS MEDICOS E CIRURGICOS LTDA","M",21,"PRONTO SOCORRO ESPECIALIZADO",2062,"HOSPITAL_PRIVADO","AVENIDA CIDADE JARDIM","3890","","CIDADE JARDIM",12233002,"12 22120001","qualidade@hospitalorto.com.br",1,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",355030,"SAO PAULO","",393290,"HOSPITAL E PRONTO ATENDIMENTO SANCTA MAGGIORE RUSSIA","PREVENT SENIOR ATENDIMENTO A SAUDE LTDA","M",5,"HOSPITAL GERAL",2062,"HOSPITAL_PRIVADO","AVENIDA PROFESSOR FRANCISCO MORATO","1133","","BUTANTA",5513100,"(11) 40859000","luciana.tamaoki@preventsenior.com.br",43,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",355030,"SAO PAULO","",414808,"CRIA CASA DE PARTO","CENTRO DE PARTO HUMANIZADO VILA MARIANA EIRELI","M",5,"HOSPITAL GERAL",2062,"HOSPITAL_PRIVADO","RUA DOUTOR LOPES DE ALMEIDA","16","","VILA MARIANA",4120070,"11998067090","mmattos@gmail.com",7,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",350600,"BAURU","",419214,"REDE ONE CARE","ONE CARE ATENDIMENTO HOSPITALAR LTDA","M",5,"HOSPITAL GERAL",2054,"HOSPITAL_PRIVADO","AVENIDA AFFONSO JOSE AIELLO","14125","","RESIDENCIAL VILAGGIO",17018786,"(14) 3214-3506","atendimento@redeone.care.com.br",3,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",351170,"CHARQUEADA","",424870,"HOSPITAL TERAPEUTICO RENOVARE","RENOVARE CENTRO DE SERVICO TERAPEUTICO LTDA","M",5,"HOSPITAL GERAL",2062,"HOSPITAL_PRIVADO","VIA DOUTOR CELSO SILVEIRA MELLO","0001","","JARDIM ALVORADA II",13515000,"19 996385550","renovareadm20@gmail.com",2,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",355250,"SUZANO","",473561,"HOSPITAL SAINT NICHOLAS MEDICAL","MEDCARE SUZANO SERVICOS MEDICOS LTDA","M",5,"HOSPITAL GERAL",2062,"HOSPITAL_PRIVADO","AVENIDA ANTONIO MARQUES FIGUEIRA","200","","CENTRO",8676000,"1147448750","",111,0,31,0,20,0,5,0,0,0,2,0,4,0
202512,"SUDESTE","SP",355030,"SAO PAULO","",478474,"PA SAO RAFAEL","PA SAO RAFAEL SERVICOS MEDICOS LTDA","M",20,"PRONTO SOCORRO GERAL",2062,"HOSPITAL_PRIVADO","AVENIDA ADOLFO PINHEIRO","2100","","SANTO AMARO",4734003,"11 23732850","EDSON@PRIMESERVICOSMEDICOS.COM.BR",5,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",355030,"SAO PAULO","",507733,"HOSPITAL ESPORTE E SAUDE BR SURGERY","HOSPITAL ESPORTE E SAUDE LTDA","M",5,"HOSPITAL GERAL",2062,"HOSPITAL_PRIVADO","RUA FAGUNDES FILHO","475","","VILA MONTE ALEGRE",4304010,"11 4369-4300","ROBERTO@BRSURGERY.COM.BR",14,0,2,0,2,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",351130,"CEDRAL","",561096,"CENTRO TERAPEUTICO MENSAGEIRO DA PAS","CENTRO TERAPEUTICO MENSAGEIRO DA PAZ EIRELI","M",15,"UNIDADE MISTA",2062,"HOSPITAL_PRIVADO","ESTRADA MUNICIPAL BEATO MARIANO LAMATA APARICIO","330","CHACARA","JARDIM INVERNADA",15895000,"","",30,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",355220,"SOROCABA","",605484,"AMHE MED SOROCABA","AMHE MED ASSISTENCIA A SAUDE LTDA","M",5,"HOSPITAL GERAL",2062,"HOSPITAL_PRIVADO","RUA PEDRO JOSE SENGER","213","CS 201 223 229 E 239","VILA HARO",18015000,"","adm.hospital@amhemed.com.br",130,33,20,0,20,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",354580,"SANTA BARBARA D'OESTE","",652601,"HOSPITAL SAMARITANO DE SANTA BARBARA DOESTE","HOSPITAL SAMARITANO DE SANTA BARBARA DOESTE","M",5,"HOSPITAL GERAL",2062,"HOSPITAL_PRIVADO","RUA LIMEIRA","450","","LAGOA SECA",13454214,"19 999284187","MIHELLE@SAMARITANOAMERICANA",32,0,5,0,1,0,0,0,4,0,0,0,0,0
202512,"SUDESTE","SP",352940,"MAUA","",653101,"HOSPITAL SAGRADA FAMILIA","HOSPITAL SAGRADA FAMILIA EIRELI","M",5,"HOSPITAL GERAL",2062,"HOSPITAL_PRIVADO","RUA VICENTE ALETTO","31","","JARDIM ANCHIETA",9360540,"1146156682","gerencia.adimistrativa@hospsagradafamilia.com.br",110,0,18,0,18,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",355030,"SAO PAULO","",663913,"HOSPITAL SAINT PATRICK","ASSOCIACAO HOSPITALAR JAGUARA","M",5,"HOSPITAL GERAL",3999,"HOSPITAL_FILANTRÓPICO","AV CANDIDO PORTINARI","616","","VILA JAGUARA",5114000,"","regulatorio@cnesolution.com.br",20,20,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",354850,"SANTOS","",684910,"CENTRO MEDICO","UNIMED DE SANTOS COOPERATIVA DE TRABALHO MEDICO","M",5,"HOSPITAL GERAL",2143,"HOSPITAL_PRIVADO","RUA PARANA","191","","VILA MATHIAS",11075320,"(13) 2102-8100","",41,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",355030,"SAO PAULO","",701394,"HOSPITAL VIDAS ALTA COMPLEXIDADE","HOSPITAL E MATERNIDADE VIDAS LTDA","M",5,"HOSPITAL GERAL",2062,"HOSPITAL_PRIVADO","PROFA MARIA DE LOURDES DE S NOGUEIRA","89","","VILA GEA",4692000,"11 33219450","CONTABILIDADE@HOSPITALVIDAS.COM.BR",61,0,10,0,10,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",352530,"JAU","",789585,"HOSPITAL UNIMED REGIONAL JAU","UNIMED REGIONAL JAU COOPERATIVA DE TRABALHO MEDICO","M",5,"HOSPITAL GERAL",2143,"HOSPITAL_PRIVADO","ANTONIO DE ALMEIDA PACHECO","1991","","2A ZONA INDUSTRIAL",17213700,"14 36028900","diretoria@unimedjau.com.br",120,0,27,0,18,0,4,0,5,0,0,0,0,0
202512,"SUDESTE","SP",350550,"BARRETOS","",837164,"HOSPITAL VILLAGE","HOSPITAL DIA DE BARRETOS LTDA","M",5,"HOSPITAL GERAL",2062,"HOSPITAL_PRIVADO","AVENIDA DOUTOR ARQUIMEDES MACHADO","15","","JARDIM RAMOS",14783165,"17 33211212","",19,2,8,0,0,0,3,0,5,0,0,0,0,0
202512,"SUDESTE","SP",353950,"PITANGUEIRAS","",864560,"PA PITANGUEIRAS","HAPVIDA ASSISTENCIA MEDICA S A","M",5,"HOSPITAL GERAL",2054,"HOSPITAL_PRIVADO","ACRE","139","","CENTRO",14750000,"85 40023633","FISCAL@HAPVIDA.COM.BR",6,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",355480,"TREMEMBE","",911046,"INSTITUTO REABILITANDO FAMILIAS","JULIANO DURAN DE OLIVEIRA LTDA","M",7,"HOSPITAL ESPECIALIZADO",2062,"HOSPITAL_PRIVADO","ESTRADA MUNICIPAL DE TREMEMBE 375","701","","MARISTELA",12129899,"1236226692","institutoresgatandofamilias@gmil.com",10,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",354970,"SAO JOSE DO RIO PARDO","",911437,"HOSPITAL UNIMED","UNIMED DE SAO JOSE DO RIO PARDO COOP TRABALHO MEDICO","M",5,"HOSPITAL GERAL",2143,"HOSPITAL_PRIVADO","RUA ALEXANDRE CARLOS DE MELO","118","","JARDIM AEROPORTO",13720482,"19 36828888","",12,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",350290,"ARACOIABA DA SERRA","",932760,"HOSPITAL NOVA REABILITACAO","HOSPITAL NOVA REABILITACAO SAUDE LTDA","M",7,"HOSPITAL ESPECIALIZADO",2062,"HOSPITAL_PRIVADO","GERSON PINTO","00000","","JARDIM TONELLI",18190000,"15 97481002","contabilidadearacoiaba@outlook.com",4,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",354880,"SAO CAETANO DO SUL","",940402,"HOSPITAL SANTA ANA","METIE MEDICINA ESPECIALIZADA EM TRATAMENTO INTENSIVO EMERG","M",5,"HOSPITAL GERAL",2062,"HOSPITAL_PRIVADO","CAVALHEIRO ERNESTO GIULIANO","979","","SAO JOSE",9570400,"11 39874411","analista.qualidade@hospitalstaclara.com.br",273,0,50,0,26,0,24,0,0,0,0,0,0,0
202512,"SUDESTE","SP",355030,"SAO PAULO","",955736,"HOSPITAL E PRONTO ATENDIMENTO SANCTA MAGGIORE PARIS","PREVENT SENIOR ATENDIMENTO A SAUDE LTDA","M",5,"HOSPITAL GERAL",2062,"HOSPITAL_PRIVADO","RUA GENERAL CHAGAS SANTOS","314","","VILA DA SAUDE",4146050,"1140859000","luciana.tamaoki@preventsenior.com.br",60,0,10,0,10,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",354890,"SAO CARLOS","",962589,"HOSPITAL UNIMED SAO CARLOS UNIDADE II","UNIMED DE SAO CARLOS COOPERATIVA DE TRABALHO MEDICO","M",5,"HOSPITAL GERAL",2143,"HOSPITAL_PRIVADO","RUA SETE DE SETEMBRO","3033","","VILA NERY",13560181,"16 21077428-21077300","secretaria.hospital2@unimedsaocarlos.com.br",79,0,10,0,0,0,2,0,8,0,0,0,0,0
202512,"SUDESTE","SP",355030,"SAO PAULO","",993956,"MATERNIDADE SAO LUIZ STAR","REDE DOR SAO LUIZ S A","M",5,"HOSPITAL GERAL",2046,"HOSPITAL_PRIVADO","RUA HELENA","29","","VILA OLIMPIA",4552050,"(11) 2121-1335","licenciamentosp@rededor.com.br",230,0,58,0,0,0,0,0,58,0,0,0,0,0
202512,"SUDESTE","SP",350950,"CAMPINAS","",2022621,"MATERNIDADE DE CAMPINAS","MATERNIDADE DE CAMPINAS","M",5,"HOSPITAL GERAL",3999,"HOSPITAL_FILANTRÓPICO","OROSIMBO MAIA","165","","CENTRO",13023910,"","",257,122,36,25,6,3,0,0,30,22,0,0,0,0
202512,"SUDESTE","SP",350950,"CAMPINAS","",2022648,"HOSPITAL IRMAOS PENTEADO E SANTA CASA DE CAMPINAS","IRMANDADE DE MISERICORDIA DE CAMPINAS","M",5,"HOSPITAL GERAL",3999,"HOSPITAL_FILANTRÓPICO","BENJAMIN CONSTANT","1657","","CENTRO",13010142,"","",145,75,31,5,18,5,8,0,0,0,5,0,0,0
202512,"SUDESTE","SP",350940,"CAJURU","",2023016,"CASA DE CARIDADE SAO VICENTE DE PAULO CAJURU","CASA DE CARIDADE SAO VICENTE DE PAULO","M",5,"HOSPITAL GERAL",3999,"HOSPITAL_FILANTRÓPICO","RUA DOUTOR MILTON MOURAO DE MATOS","460","","CENTRO",14240114,"(16)36673232","",73,55,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",350950,"CAMPINAS","",2023148,"HOSPITAL SAMARITANO DE CAMPINAS","ASSOCIACAO EVANGELICA BENEFICENTE DE CAMPINAS","M",5,"HOSPITAL GERAL",3999,"HOSPITAL_FILANTRÓPICO","ENGENHEIRO MONLEVADE","206","","VILA JOAO JORGE",13041304,"19 37361199","CONTABILIDADE4@SAMARITANOSAUDE.COM.BR",180,0,60,0,20,0,10,0,10,0,0,0,20,0
202512,"SUDESTE","SP",352470,"JAGUARIUNA","",2023474,"HOSPITAL MUNICIPAL WALTER FERRARI","PREFEITURA MUNICIPAL DE JAGUARIUNA","M",5,"HOSPITAL GERAL",1244,"HOSPITAL_PÚBLICO","RUA AMAZONAS","08","","DOM BOSCO",13911112,"(19) 38671122","uac.saude@jaguariuna.sp.gov.br",102,99,15,15,15,15,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",350950,"CAMPINAS","",2023512,"HOSPITAL SANTA SOFIA","HOSPITAL SANTA SOFIA LTDA","M",5,"HOSPITAL GERAL",2062,"HOSPITAL_PRIVADO","AV ANDRADE NEVES","611","","BOTAFOGO",13013161,"19 3737-8000","hss@hospitalsantasofia.com.br",37,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",352340,"ITATIBA","",2023709,"SANTA CASA DE MISERICORDIA DE ITATIBA","SANTA CASA DE MISERICORDIA DE ITATIBA","M",5,"HOSPITAL GERAL",3999,"HOSPITAL_FILANTRÓPICO","AVENIDA DA SAUDADE","43","","CENTRO",13253000,"(11)4894-8899","santacasa@itatiba.sp.gov.br",120,74,25,14,19,11,0,0,6,3,0,0,0,0
202512,"SUDESTE","SP",352420,"JABORANDI","",2023865,"HOSPITAL MUNICIPAL DR AMADEU PAGLIUSO","PREFEITURA MUNICIPAL DE JABORANDI","M",5,"HOSPITAL GERAL",1244,"HOSPITAL_PÚBLICO","RUA DR AMADEU PAGLIUSO","480","","CENTRO",14775000,"(17)33471286","",17,17,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",353110,"MONGAGUA","",2024438,"HOSPITAL E MATERNIDADE DRA ADONIRAN CORREIA CAMPOS MONGAGUA","PREFEITURA MUNICIPAL DA ESTANCIA BALNEARIA DE MONGAGUA","M",5,"HOSPITAL GERAL",1244,"HOSPITAL_PÚBLICO","AVENIDA SAO PAULO","826","","VILA SAO PAULO",11730004,"(13)35056060","",36,36,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",350400,"ASSIS","",2024624,"HOSPITAL E MATERNIDADE DE ASSIS","HOSPITAL E MATERNIDADE DE ASSIS S A","M",5,"HOSPITAL GERAL",2054,"HOSPITAL_PRIVADO","RUA ANA ANGELA RAZABONI DE ANDRADE","405","","JAD PAULISTA",19814970,"18 3302-1700","autorizador@hmassis.com.br",65,0,10,0,6,0,1,0,3,0,0,0,0,0
