"MUNICIPIO","POPULACAO","REGIAO_SAUDE"
"Sales",5800,"São José do Rio Preto"
"Ipiguá",5800,"São José do Rio Preto"
"Pontalinda",5800,"São José do Rio Preto"
"Piacatu",5900,"Araçatuba"
"Silveiras",5900,"Vale do Paraíba"
"Taciba",5900,"Presidente Prudente"
"Macedônia",5900,"São José do Rio Preto"
"Luiziânia",6200,"Araçatuba"
"Indiaporã",6200,"São José do Rio Preto"
"Indiana",6400,"Presidente Prudente"
"Coroados",6500,"Araçatuba"
"Glicério",6700,"Araçatuba"
"São José do Barreiro",6700,"Vale do Paraíba"
"Santo Antônio do Pinhal",6700,"Vale do Paraíba"
"Aparecida d'Oeste",6800,"São José do Rio Preto"
"Braúna",7100,"Araçatuba"
"Caiuá",7200,"Presidente Prudente"
"Populina",7200,"São José do Rio Preto"
"Jambeiro",7500,"São José dos Campos"
"Natividade da Serra",7500,"São José dos Campos"
"Tapiraí",7600,"Sorocaba"
"Barbosa",7600,"Araçatuba"
"Clementina",7800,"Araçatuba"
"Poloni",7800,"São José do Rio Preto"
"Paranapuã",7900,"São José do Rio Preto"
"Santa Albertina",8100,"São José do Rio Preto"
"Lavínia",8200,"Araçatuba"
"Três Fronteiras",8200,"São José do Rio Preto"
"Aguas da Prata",8500,"São João da Boa Vista"
"Cosmorama",8800,"São José do Rio Preto"
"Salesópolis",8900,"Grande SP"
"Bilac",8900,"Araçatuba"
"Sud Mennucci",8900,"Araçatuba"
"Lavrinhas",8900,"Vale do Paraíba"
"Euclides da Cunha Paulista",8900,"Presidente Prudente"
"Américo de Campos",8900,"São José do Rio Preto"
"Iepê",9200,"Presidente Prudente"
"Paulo de Faria",9400,"São José do Rio Preto"
"Estrela d'Oeste",9400,"São José do Rio Preto"
"Roseira",9800,"Vale do Paraíba"
"Paulicéia",9800,"Presidente Prudente"
"Ouroeste",9800,"São José do Rio Preto"
"Paraibuna",20000,"São José dos Campos"
"Ilhabela",40000,"Vale do Paraíba"
"Tremembé",50000,"São José dos Campos"
"Ubatuba",90000,"Vale do Paraíba"
"Araçariguama",7810,"Grande SP"
"Pirapora do Bom Jesus",8020,"Grande SP"
"Santana de Parnaíba",8230,"Grande SP"
"Santa Isabel",8450,"Grande SP"
"Guararema",8670,"Grande SP"
"Pilar do Sul",9091,"Sorocaba"
"Biritiba Mirim",9120,"Grande SP"
"Piedade",9202,"Sorocaba"
"Embu-Guaçu",9340,"Grande SP"
"Juquitiba",9560,"Grande SP"
"São Lourenço da Serra",9780,"Grande SP"
"Salto de Pirapora",9979,"Sorocaba"
"Cedral",10800,"São José do Rio Preto"
"São Luís do Paraitinga",11000,"Vale do Paraíba"
"Igaratá",11000,"São José dos Campos"
"Bananal",11200,"Vale do Paraíba"
"São Bento do Sapucaí",11200,"Vale do Paraíba"
"Riolândia",11200,"São José do Rio Preto"
"Valentim Gentil",11400,"São José do Rio Preto"
"Neves Paulista",11600,"São José do Rio Preto"
"Palmeira d'Oeste",11600,"São José do Rio Preto"
"Ibirá",11800,"São José do Rio Preto"
"Cardoso",11800,"São José do Rio Preto"
"Queluz",13800,"Vale do Paraíba"
"Pacaembu",13800,"Presidente Prudente"
"Piquete",14000,"Vale do Paraíba"
"Santa Branca",14000,"São José dos Campos"
"Nhandeara",14500,"São José do Rio Preto"
"Borborema",15200,"São José do Rio Preto"
"Urupês",15400,"São José do Rio Preto"
"Itajobi",15800,"São José do Rio Preto"
"Mirante do Paranapanema",16400,"Presidente Prudente"
"Potirendaba",16800,"São José do Rio Preto"
"Guapiaçu",17400,"São José do Rio Preto"
"Bady Bassitt",17600,"São José do Rio Preto"
"General Salgado",18400,"São José do Rio Preto"
"Estiva Gerbi",18900,"Campinas"
"Potim",22000,"Vale do Paraíba"
"Saltinho",22300,"Piracicaba"
"Santo Antônio de Posse",22700,"Campinas"
"Teodoro Sampaio",22800,"Presidente Prudente"
"Cunha",24000,"São José dos Campos"
"Tambaú",24000,"São João da Boa Vista"
"Monte Aprazível",24300,"São José do Rio Preto"
"Conchal",27800,"Campinas"
"Tanabi",28900,"São José do Rio Preto"
"Santa Fé do Sul",29800,"São José do Rio Preto"
"Cachoeira Paulista",31500,"Vale do Paraíba"
"Reginópolis",33500,"Lins"
"Guarantã",36500,"Lins"
"Aparecida",38200,"Vale do Paraíba"
"Olímpia",48200,"São José do Rio Preto"
"Campos do Jordão",55000,"Vale do Paraíba"
"São José do Rio Pardo",55000,"São João da Boa Vista"
"Caçapava",97000,"São José dos Campos"
"Jandira",126600,"Grande SP"
"Itapetininga",131600,"Sorocaba"
"Ribeirão Preto",728400,"Ribeirão Preto"
"Morungaba",10756,"Campinas"
"Vargem",10867,"Campinas"
"Piracaia",10978,"Campinas"
"Nazaré Paulista",11089,"Campinas"
"Jarinu",11422,"Jundiaí"
"Campo Limpo Paulista",11644,"Jundiaí"
"Bom Jesus dos Perdões",11755,"Campinas"
"Pinhalzinho",11866,"Campinas"
"Águas de Lindóia",11977,"Campinas"
"Lindoia",12088,"Campinas"
"Monte Alegre do Sul",12199,"Campinas"
"Serra Negra",12310,"Campinas"
"Pedreira",12532,"Campinas"
"Jaguariúna",12643,"Campinas"
"Holambra",12754,"Campinas"
"Artur Nogueira",13087,"Campinas"
"Engenheiro Coelho",13198,"Campinas"
"Divinolândia",13753,"São João da Boa Vista"
"Santa Cruz das Palmeiras",13975,"São João da Boa Vista"
"Itobi",14086,"São João da Boa Vista"
"São Sebastião da Grama",14197,"São João da Boa Vista"
"Caconde",14308,"São João da Boa Vista"
"Tapiratiba",14419,"São João da Boa Vista"
"Vargem Grande do Sul",14752,"São João da Boa Vista"
"Aguaí",14974,"São João da Boa Vista"
"Guará",15307,"Ribeirão Preto"
"Sales de Oliveira",15418,"Ribeirão Preto"
"Morro Agudo",15640,"Ribeirão Preto"
"Ipuã",15751,"Ribeirão Preto"
"Cananeia",15890,"Vale do Ribeira"
"Nuporanga",15973,"Ribeirão Preto"
"Rifaina",16306,"Franca"
"Jeriquara",16528,"Franca"
"Cristais Paulista",16639,"Franca"
"Patrocínio Paulista",16750,"Franca"
"Restinga",16861,"Franca"
"Aramina",16972,"Franca"
"São José da Bela Vista",17083,"Franca"
"Miguelópolis",17194,"Franca"
"Ituverava",17305,"Franca"
"Ribeirão Corrente",17416,"Franca"
"Terra Roxa",17527,"Barretos"
